ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE
"10417","66","100","2","7516.08","2005-05-13","Disputed","2","5","2005","Motorcycles","95","S10_1678","Euro Shopping Channel","(91) 555 94 44","C/ Moralzarzal, 86",\N,"Madrid",\N,"28034","Spain","EMEA","Freyre","Diego","Large"
"10126","38","100","11","7329.06","2003-05-28","Shipped","2","5","2003","Classic Cars","214","S10_1949","Corrida Auto Replicas, Ltd","(91) 555 22 82","C/ Araquil, 67",\N,"Madrid",\N,"28023","Spain","EMEA","Sommer","Mart¡n","Large"
"10140","37","100","11","7374.1","2003-07-24","Shipped","3","7","2003","Classic Cars","214","S10_1949","Technics Stores Inc.","6505556809","9408 Furth Circle",\N,"Burlingame","CA","94217","USA",\N,"Hirano","Juri","Large"
"10150","45","100","8","10993.5","2003-09-19","Shipped","3","9","2003","Classic Cars","214","S10_1949","Dragon Souveniers, Ltd.","+65 221 7555","Bronz Sok., Bronz Apt. 3/6 Tesvikiye",\N,"Singapore",\N,"79903","Singapore","Japan","Natividad","Eric","Large"
"10245","34","100","9","6120.34","2004-05-04","Shipped","2","5","2004","Classic Cars","214","S10_1949","Super Scale Inc.","2035559545","567 North Pendale Street",\N,"New Haven","CT","97823","USA",\N,"Murphy","Leslie","Medium"
"10258","32","100","6","7680.64","2004-06-15","Shipped","2","6","2004","Classic Cars","214","S10_1949","Tokyo Collectables, Ltd","+81 3 3584 0555","2-2-8 Roppongi",\N,"Minato-ku","Tokyo","106-0032","Japan","Japan","Shimamura","Akiko","Large"
"10270","21","100","9","4905.39","2004-07-19","Shipped","3","7","2004","Classic Cars","214","S10_1949","Souveniers And Things Co.","+61 2 9495 8555","Monitor Money Building, 815 Pacific Hwy","Level 6","Chatswood","NSW","2067","Australia","APAC","Huxley","Adrian","Medium"
"10280","34","100","2","8014.82","2004-08-17","Shipped","3","8","2004","Classic Cars","214","S10_1949","Amica Models & Co.","011-4988555","Via Monte Bianco 34",\N,"Torino",\N,"10100","Italy","EMEA","Accorti","Paolo","Large"
"10291","37","100","11","7136.19","2004-09-08","Shipped","3","9","2004","Classic Cars","214","S10_1949","Scandinavian Gift Ideas","0695-34 6555","?kergatan 24",\N,"Boras",\N,"S-844 67","Sweden","EMEA","Larsson","Maria","Large"
"10411","23","100","9","4140.23","2005-05-01","Shipped","2","5","2005","Classic Cars","214","S10_1949","Quebec Home Shopping Network","(514) 555-8054","43 rue St. Laurent",\N,"Montreal","Quebec","H1J 1C3","Canada",\N,"Fresnisre","Jean","Medium"
"10424","50","100","6","12001","2005-05-31","In Process","2","5","2005","Classic Cars","214","S10_1949","Euro Shopping Channel","(91) 555 94 44","C/ Moralzarzal, 86",\N,"Madrid",\N,"28034","Spain","EMEA","Freyre","Diego","Large"
"10120","29","96.34","3","2793.86","2003-04-29","Shipped","2","4","2003","Motorcycles","118","S10_2016","Australian Collectors, Co.","03 9520 4555","636 St Kilda Road","Level 3","Melbourne","Victoria","3004","Australia","APAC","Ferguson","Peter","Small"
"10134","27","100","5","3307.77","2003-07-01","Shipped","3","7","2003","Motorcycles","118","S10_2016","Lyon Souveniers","+33 1 46 62 7555","27 rue du Colonel Pierre Avia",\N,"Paris",\N,"75508","France","EMEA","Da Cunha","Daniel","Medium"
"10145","37","100","9","5192.95","2003-08-25","Shipped","3","8","2003","Motorcycles","118","S10_2016","Toys4GrownUps.com","6265557265","78934 Hillside Dr.",\N,"Pasadena","CA","90003","USA",\N,"Young","Julie","Medium"
"10236","22","100","1","2852.08","2004-04-03","Shipped","2","4","2004","Motorcycles","118","S10_2016","Motor Mint Distributors Inc.","2155559857","11328 Douglas Av.",\N,"Philadelphia","PA","71270","USA",\N,"Hernandez","Rosa","Small"
"10251","44","100","5","5756.52","2004-05-18","Shipped","2","5","2004","Motorcycles","118","S10_2016","Tekni Collectables Inc.","2015559350","7476 Moss Rd.",\N,"Newark","NJ","94019","USA",\N,"Brown","William","Medium"
"10263","40","100","5","4472","2004-06-28","Shipped","2","6","2004","Motorcycles","118","S10_2016","Gift Depot Inc.","2035552570","25593 South Bay Ln.",\N,"Bridgewater","CT","97562","USA",\N,"King","Julie","Medium"
"10275","22","100","4","2904.44","2004-07-23","Shipped","3","7","2004","Motorcycles","118","S10_2016","La Rochelle Gifts","40.67.8555","67, rue des Cinquante Otages",\N,"Nantes",\N,"44000","France","EMEA","Labrune","Janine","Small"
"10285","47","100","9","6484.59","2004-08-27","Shipped","3","8","2004","Motorcycles","118","S10_2016","Marta's Replicas Co.","6175558555","39323 Spinnaker Dr.",\N,"Cambridge","MA","51247","USA",\N,"Hernandez","Marta","Medium"
"10298","39","96.34","1","3757.26","2004-09-27","Shipped","3","9","2004","Motorcycles","118","S10_2016","Atelier graphique","40.32.2555","54, rue Royale",\N,"Nantes",\N,"44000","France","EMEA","Schmitt","Carine","Medium"
"10402","45","100","1","5833.8","2005-04-07","Shipped","2","4","2005","Motorcycles","118","S10_2016","Auto Canal Petit","(1) 47.55.6555","25, rue Lauriston",\N,"Paris",\N,"75016","France","EMEA","Perrier","Dominique","Medium"
"10417","45","100","5","5887.35","2005-05-13","Disputed","2","5","2005","Motorcycles","118","S10_2016","Euro Shopping Channel","(91) 555 94 44","C/ Moralzarzal, 86",\N,"Madrid",\N,"28034","Spain","EMEA","Freyre","Diego","Medium"
"10120","46","100","2","9264.86","2003-04-29","Shipped","2","4","2003","Motorcycles","193","S10_4698","Australian Collectors, Co.","03 9520 4555","636 St Kilda Road","Level 3","Melbourne","Victoria","3004","Australia","APAC","Ferguson","Peter","Large"
"10134","31","100","4","7023.98","2003-07-01","Shipped","3","7","2003","Motorcycles","193","S10_4698","Lyon Souveniers","+33 1 46 62 7555","27 rue du Colonel Pierre Avia",\N,"Paris",\N,"75508","France","EMEA","Da Cunha","Daniel","Large"
"10145","33","100","8","5176.38","2003-08-25","Shipped","3","8","2003","Motorcycles","193","S10_4698","Toys4GrownUps.com","6265557265","78934 Hillside Dr.",\N,"Pasadena","CA","90003","USA",\N,"Young","Julie","Medium"
"10237","39","100","9","7023.9","2004-04-05","Shipped","2","4","2004","Motorcycles","193","S10_4698","Vitachrome Inc.","2125551500","2678 Kingston Rd.","Suite 101","NYC","NY","10022","USA",\N,"Frick","Michael","Large"
"10251","43","100","4","7078.23","2004-05-18","Shipped","2","5","2004","Motorcycles","193","S10_4698","Tekni Collectables Inc.","2015559350","7476 Moss Rd.",\N,"Newark","NJ","94019","USA",\N,"Brown","William","Large"
"10263","41","100","4","8336.94","2004-06-28","Shipped","2","6","2004","Motorcycles","193","S10_4698","Gift Depot Inc.","2035552570","25593 South Bay Ln.",\N,"Bridgewater","CT","97562","USA",\N,"King","Julie","Large"
"10275","36","100","3","6901.92","2004-07-23","Shipped","3","7","2004","Motorcycles","193","S10_4698","La Rochelle Gifts","40.67.8555","67, rue des Cinquante Otages",\N,"Nantes",\N,"44000","France","EMEA","Labrune","Janine","Medium"
"10285","27","100","8","5438.07","2004-08-27","Shipped","3","8","2004","Motorcycles","193","S10_4698","Marta's Replicas Co.","6175558555","39323 Spinnaker Dr.",\N,"Cambridge","MA","51247","USA",\N,"Hernandez","Marta","Medium"
"10299","29","100","11","6683.34","2004-09-30","Shipped","3","9","2004","Motorcycles","193","S10_4698","Toys of Finland, Co.","90-224 8555","Keskuskatu 45",\N,"Helsinki",\N,"21240","Finland","EMEA","Karttunen","Matti","Medium"
"10403","66","100","9","11886.6","2005-04-08","Shipped","2","4","2005","Motorcycles","193","S10_4698","UK Collectables, Ltd.","(171) 555-2282","Berkeley Gardens 12  Brewery",\N,"Liverpool",\N,"WX1 6LT","UK","EMEA","Devon","Elizabeth","Large"
"10417","56","100","4","9218.16","2005-05-13","Disputed","2","5","2005","Motorcycles","193","S10_4698","Euro Shopping Channel","(91) 555 94 44","C/ Moralzarzal, 86",\N,"Madrid",\N,"28034","Spain","EMEA","Freyre","Diego","Large"
"10119","46","100","11","5004.8","2003-04-28","Shipped","2","4","2003","Classic Cars","136","S10_4757","Salzburg Collectables","6562-9555","Geislweg 14",\N,"Salzburg",\N,"5020","Austria","EMEA","Pipps","Georg","Medium"
"10129","33","100","2","4398.24","2003-06-12","Shipped","2","6","2003","Classic Cars","136","S10_4757","Stylish Desk Decors, Co.","(171) 555-0297","35 King George",\N,"London",\N,"WX3 6FW","UK","EMEA","Brown","Ann","Medium"
"10143","49","100","15","5597.76","2003-08-10","Shipped","3","8","2003","Classic Cars","136","S10_4757","Mini Creations Ltd.","5085559555","4575 Hillside Dr.",\N,"New Bedford","MA","50553","USA",\N,"Tam","Wing C","Medium"
"10248","20","100","3","2910.4","2004-05-07","Cancelled","2","5","2004","Classic Cars","136","S10_4757","Land of Toys Inc.","2125557818","897 Long Airport Avenue",\N,"NYC","NY","10022","USA",\N,"Yu","Kwai","Small"
"10261","27","100","1","3378.24","2004-06-17","Shipped","2","6","2004","Classic Cars","136","S10_4757","Quebec Home Shopping Network","(514) 555-8054","43 rue St. Laurent",\N,"Montreal","Quebec","H1J 1C3","Canada",\N,"Fresnisre","Jean","Medium"
"10273","30","100","4","3508.8","2004-07-21","Shipped","3","7","2004","Classic Cars","136","S10_4757","Petit Auto","(02) 5554 67","Rue Joseph-Bens 532",\N,"Bruxelles",\N,"B-1180","Belgium","EMEA","Dewey","Catherine","Medium"
"10283","25","100","6","2992","2004-08-20","Shipped","3","8","2004","Classic Cars","136","S10_4757","Royal Canadian Collectables, Ltd.","(604) 555-4555","23 Tsawassen Blvd.",\N,"Tsawassen","BC","T2F 8M4","Canada",\N,"Lincoln","Elizabeth","Small"
"10295","24","100","1","3427.2","2004-09-10","Shipped","3","9","2004","Classic Cars","136","S10_4757","Gifts4AllAges.com","6175559555","8616 Spinnaker Dr.",\N,"Boston","MA","51003","USA",\N,"Yoshido","Juri","Medium"
"10400","64","100","9","9661.44","2005-04-01","Shipped","2","4","2005","Classic Cars","136","S10_4757","The Sharp Gifts Warehouse","4085553659","3086 Ingle Ln.",\N,"San Jose","CA","94217","USA",\N,"Frick","Sue","Large"
"10414","19","100","3","2764.88","2005-05-06","On Hold","2","5","2005","Classic Cars","136","S10_4757","Gifts4AllAges.com","6175559555","8616 Spinnaker Dr.",\N,"Boston","MA","51003","USA",\N,"Yoshido","Juri","Small"
"10114","31","100","8","4305.28","2003-04-01","Shipped","2","4","2003","Classic Cars","147","S10_4962","La Corne D'abondance, Co.","(1) 42.34.2555","265, boulevard Charonne",\N,"Paris",\N,"75012","France","EMEA","Bertrand","Marie","Medium"
"10126","22","100","4","3347.74","2003-05-28","Shipped","2","5","2003","Classic Cars","147","S10_4962","Corrida Auto Replicas, Ltd","(91) 555 22 82","C/ Araquil, 67",\N,"Madrid",\N,"28023","Spain","EMEA","Sommer","Mart¡n","Medium"
"10140","26","100","4","3188.12","2003-07-24","Shipped","3","7","2003","Classic Cars","147","S10_4962","Technics Stores Inc.","6505556809","9408 Furth Circle",\N,"Burlingame","CA","94217","USA",\N,"Hirano","Juri","Medium"
"10150","20","100","1","3191.2","2003-09-19","Shipped","3","9","2003","Classic Cars","147","S10_4962","Dragon Souveniers, Ltd.","+65 221 7555","Bronz Sok., Bronz Apt. 3/6 Tesvikiye",\N,"Singapore",\N,"79903","Singapore","Japan","Natividad","Eric","Medium"
"10245","28","100","2","4591.72","2004-05-04","Shipped","2","5","2004","Classic Cars","147","S10_4962","Super Scale Inc.","2035559545","567 North Pendale Street",\N,"New Haven","CT","97823","USA",\N,"Murphy","Leslie","Medium"
"10259","26","100","12","4033.38","2004-06-15","Shipped","2","6","2004","Classic Cars","147","S10_4962","Handji Gifts& Co","+65 224 1555","Village Close - 106 Linden Road Sandown","2nd Floor","Singapore",\N,"69045","Singapore","APAC","Victorino","Wendy","Medium"
"10270","32","100","2","4302.08","2004-07-19","Shipped","3","7","2004","Classic Cars","147","S10_4962","Souveniers And Things Co.","+61 2 9495 8555","Monitor Money Building, 815 Pacific Hwy","Level 6","Chatswood","NSW","2067","Australia","APAC","Huxley","Adrian","Medium"
"10281","44","100","9","7020.64","2004-08-19","Shipped","3","8","2004","Classic Cars","147","S10_4962","Diecast Classics Inc.","2155551555","7586 Pompton St.",\N,"Allentown","PA","70267","USA",\N,"Yu","Kyung","Large"
"10291","30","100","4","3855.9","2004-09-08","Shipped","3","9","2004","Classic Cars","147","S10_4962","Scandinavian Gift Ideas","0695-34 6555","?kergatan 24",\N,"Boras",\N,"S-844 67","Sweden","EMEA","Larsson","Maria","Medium"
"10411","27","100","2","4427.73","2005-05-01","Shipped","2","5","2005","Classic Cars","147","S10_4962","Quebec Home Shopping Network","(514) 555-8054","43 rue St. Laurent",\N,"Montreal","Quebec","H1J 1C3","Canada",\N,"Fresnisre","Jean","Medium"
"10425","38","100","12","5894.94","2005-05-31","In Process","2","5","2005","Classic Cars","147","S10_4962","La Rochelle Gifts","40.67.8555","67, rue des Cinquante Otages",\N,"Nantes",\N,"44000","France","EMEA","Labrune","Janine","Medium"
"10122","42","100","10","7599.9","2003-05-08","Shipped","2","5","2003","Classic Cars","194","S12_1099","Marseille Mini Autos","91.24.4555","12, rue des Bouchers",\N,"Marseille",\N,"13008","France","EMEA","Lebihan","Laurence","Large"
"10135","42","100","7","8008.56","2003-07-02","Shipped","3","7","2003","Classic Cars","194","S12_1099","Mini Gifts Distributors Ltd.","4155551450","5677 Strong St.",\N,"San Rafael","CA","97562","USA",\N,"Nelson","Valarie","Large"
"10147","48","100","7","9245.76","2003-09-05","Shipped","3","9","2003","Classic Cars","194","S12_1099","Collectables For Less Inc.","6175558555","7825 Douglas Av.",\N,"Brickhaven","MA","58339","USA",\N,"Nelson","Allen","Large"
"10238","28","100","3","5774.72","2004-04-09","Shipped","2","4","2004","Classic Cars","194","S12_1099","Danish Wholesale Imports","31 12 3555","Vinb'ltet 34",\N,"Kobenhavn",\N,"1734","Denmark","EMEA","Petersen","Jytte","Medium"
"10253","24","100","13","3922.56","2004-06-01","Cancelled","2","6","2004","Classic Cars","194","S12_1099","UK Collectables, Ltd.","(171) 555-2282","Berkeley Gardens 12  Brewery",\N,"Liverpool",\N,"WX1 6LT","UK","EMEA","Devon","Elizabeth","Medium"
"10266","44","100","14","9160.36","2004-07-06","Shipped","3","7","2004","Classic Cars","194","S12_1099","L'ordine Souveniers","0522-556555","Strada Provinciale 124",\N,"Reggio Emilia",\N,"42100","Italy","EMEA","Moroni","Maurizio","Large"
"10276","50","100","3","9631","2004-08-02","Shipped","3","8","2004","Classic Cars","194","S12_1099","Online Mini Collectables","6175557555","7635 Spinnaker Dr.",\N,"Brickhaven","MA","58339","USA",\N,"Barajas","Miguel","Large"
"10287","21","100","12","3432.24","2004-08-30","Shipped","3","8","2004","Classic Cars","194","S12_1099","Vida Sport, Ltd","0897-034555","Grenzacherweg 237",\N,"Gensve",\N,"1203","Switzerland","EMEA","Holz","Michael","Medium"
"10419","12","100","13","1961.28","2005-05-17","Shipped","2","5","2005","Classic Cars","194","S12_1099","Salzburg Collectables","6562-9555","Geislweg 14",\N,"Salzburg",\N,"5020","Austria","EMEA","Pipps","Georg","Small"
"10117","33","100","9","6034.38","2003-04-16","Shipped","2","4","2003","Classic Cars","207","S12_1108","Dragon Souveniers, Ltd.","+65 221 7555","Bronz Sok., Bronz Apt. 3/6 Tesvikiye",\N,"Singapore",\N,"79903","Singapore","Japan","Natividad","Eric","Medium"
"10127","46","100","2","11279.2","2003-06-03","Shipped","2","6","2003","Classic Cars","207","S12_1108","Muscle Machine Inc","2125557413","4092 Furth Circle","Suite 400","NYC","NY","10022","USA",\N,"Young","Jeff","Large"
"10142","33","100","12","8023.29","2003-08-08","Shipped","3","8","2003","Classic Cars","207","S12_1108","Mini Gifts Distributors Ltd.","4155551450","5677 Strong St.",\N,"San Rafael","CA","97562","USA",\N,"Nelson","Valarie","Large"
"10153","20","100","11","4904","2003-09-28","Shipped","3","9","2003","Classic Cars","207","S12_1108","Euro Shopping Channel","(91) 555 94 44","C/ Moralzarzal, 86",\N,"Madrid",\N,"28034","Spain","EMEA","Freyre","Diego","Medium"
"10247","44","100","2","10606.2","2004-05-05","Shipped","2","5","2004","Classic Cars","207","S12_1108","Suominen Souveniers","+358 9 8045 555","Software Engineering Center, SEC Oy",\N,"Espoo",\N,"FIN-02271","Finland","EMEA","Suominen","Kalle","Large"
"10272","35","100","2","5818.4","2004-07-20","Shipped","3","7","2004","Classic Cars","207","S12_1108","Diecast Classics Inc.","2155551555","7586 Pompton St.",\N,"Allentown","PA","70267","USA",\N,"Yu","Kyung","Medium"
"10282","41","100","5","7071.27","2004-08-20","Shipped","3","8","2004","Classic Cars","207","S12_1108","Mini Gifts Distributors Ltd.","4155551450","5677 Strong St.",\N,"San Rafael","CA","97562","USA",\N,"Nelson","Valarie","Large"
"10293","46","100","8","8411.56","2004-09-09","Shipped","3","9","2004","Classic Cars","207","S12_1108","Amica Models & Co.","011-4988555","Via Monte Bianco 34",\N,"Torino",\N,"10100","Italy","EMEA","Accorti","Paolo","Large"
"10413","36","100","2","8677.8","2005-05-05","Shipped","2","5","2005","Classic Cars","207","S12_1108","Gift Depot Inc.","2035552570","25593 South Bay Ln.",\N,"Bridgewater","CT","97562","USA",\N,"King","Julie","Large"
"10126","21","100","8","2439.57","2003-05-28","Shipped","2","5","2003","Trucks and Buses","136","S12_1666","Corrida Auto Replicas, Ltd","(91) 555 22 82","C/ Araquil, 67",\N,"Madrid",\N,"28023","Spain","EMEA","Sommer","Mart¡n","Small"
"10140","38","100","8","4829.8","2003-07-24","Shipped","3","7","2003","Trucks and Buses","136","S12_1666","Technics Stores Inc.","6505556809","9408 Furth Circle",\N,"Burlingame","CA","94217","USA",\N,"Hirano","Juri","Medium"
"10150","30","100","5","4100.1","2003-09-19","Shipped","3","9","2003","Trucks and Buses","136","S12_1666","Dragon Souveniers, Ltd.","+65 221 7555","Bronz Sok., Bronz Apt. 3/6 Tesvikiye",\N,"Singapore",\N,"79903","Singapore","Japan","Natividad","Eric","Medium"
"10245","38","100","6","5920.4","2004-05-04","Shipped","2","5","2004","Trucks and Buses","136","S12_1666","Super Scale Inc.","2035559545","567 North Pendale Street",\N,"New Haven","CT","97823","USA",\N,"Murphy","Leslie","Medium"
"10258","41","100","3","6668.24","2004-06-15","Shipped","2","6","2004","Trucks and Buses","136","S12_1666","Tokyo Collectables, Ltd","+81 3 3584 0555","2-2-8 Roppongi",\N,"Minato-ku","Tokyo","106-0032","Japan","Japan","Shimamura","Akiko","Medium"
"10270","28","100","6","4094.72","2004-07-19","Shipped","3","7","2004","Trucks and Buses","136","S12_1666","Souveniers And Things Co.","+61 2 9495 8555","Monitor Money Building, 815 Pacific Hwy","Level 6","Chatswood","NSW","2067","Australia","APAC","Huxley","Adrian","Medium"
"10281","25","100","13","2938.5","2004-08-19","Shipped","3","8","2004","Trucks and Buses","136","S12_1666","Diecast Classics Inc.","2155551555","7586 Pompton St.",\N,"Allentown","PA","70267","USA",\N,"Yu","Kyung","Small"
"10291","41","100","8","6387.8","2004-09-08","Shipped","3","9","2004","Trucks and Buses","136","S12_1666","Scandinavian Gift Ideas","0695-34 6555","?kergatan 24",\N,"Boras",\N,"S-844 67","Sweden","EMEA","Larsson","Maria","Medium"
"10411","40","100","6","6232","2005-05-01","Shipped","2","5","2005","Trucks and Buses","136","S12_1666","Quebec Home Shopping Network","(514) 555-8054","43 rue St. Laurent",\N,"Montreal","Quebec","H1J 1C3","Canada",\N,"Fresnisre","Jean","Medium"
"10424","49","100","3","7969.36","2005-05-31","In Process","2","5","2005","Trucks and Buses","136","S12_1666","Euro Shopping Channel","(91) 555 94 44","C/ Moralzarzal, 86",\N,"Madrid",\N,"28034","Spain","EMEA","Freyre","Diego","Large"
"10121","50","100","4","8284","2003-05-07","Shipped","2","5","2003","Motorcycles","150","S12_2823","Reims Collectables","26.47.1555","59 rue de l'Abbaye",\N,"Reims",\N,"51100","France","EMEA","Henriot","Paul","Large"
"10134","20","100","1","2711.2","2003-07-01","Shipped","3","7","2003","Motorcycles","150","S12_2823","Lyon Souveniers","+33 1 46 62 7555","27 rue du Colonel Pierre Avia",\N,"Paris",\N,"75508","France","EMEA","Da Cunha","Daniel","Small"
"10145","49","100","5","8339.8","2003-08-25","Shipped","3","8","2003","Motorcycles","150","S12_2823","Toys4GrownUps.com","6265557265","78934 Hillside Dr.",\N,"Pasadena","CA","90003","USA",\N,"Young","Julie","Large"
"10237","32","100","6","4193.28","2004-04-05","Shipped","2","4","2004","Motorcycles","150","S12_2823","Vitachrome Inc.","2125551500","2678 Kingston Rd.","Suite 101","NYC","NY","10022","USA",\N,"Frick","Michael","Medium"
"10251","46","100","1","7552.28","2004-05-18","Shipped","2","5","2004","Motorcycles","150","S12_2823","Tekni Collectables Inc.","2015559350","7476 Moss Rd.",\N,"Newark","NJ","94019","USA",\N,"Brown","William","Large"
"10263","48","100","1","6434.4","2004-06-28","Shipped","2","6","2004","Motorcycles","150","S12_2823","Gift Depot Inc.","2035552570","25593 South Bay Ln.",\N,"Bridgewater","CT","97562","USA",\N,"King","Julie","Medium"
"10276","43","100","14","5181.5","2004-08-02","Shipped","3","8","2004","Motorcycles","150","S12_2823","Online Mini Collectables","6175557555","7635 Spinnaker Dr.",\N,"Brickhaven","MA","58339","USA",\N,"Barajas","Miguel","Medium"
"10285","49","100","5","6863.92","2004-08-27","Shipped","3","8","2004","Motorcycles","150","S12_2823","Marta's Replicas Co.","6175558555","39323 Spinnaker Dr.",\N,"Cambridge","MA","51247","USA",\N,"Hernandez","Marta","Medium"
"10299","24","100","8","4157.04","2004-09-30","Shipped","3","9","2004","Motorcycles","150","S12_2823","Toys of Finland, Co.","90-224 8555","Keskuskatu 45",\N,"Helsinki",\N,"21240","Finland","EMEA","Karttunen","Matti","Medium"
"10403","66","100","6","8648.64","2005-04-08","Shipped","2","4","2005","Motorcycles","150","S12_2823","UK Collectables, Ltd.","(171) 555-2282","Berkeley Gardens 12  Brewery",\N,"Liverpool",\N,"WX1 6LT","UK","EMEA","Devon","Elizabeth","Large"
"10417","21","100","1","3447.78","2005-05-13","Disputed","2","5","2005","Motorcycles","150","S12_2823","Euro Shopping Channel","(91) 555 94 44","C/ Moralzarzal, 86",\N,"Madrid",\N,"28034","Spain","EMEA","Freyre","Diego","Medium"
"10117","43","100","10","5911.64","2003-04-16","Shipped","2","4","2003","Classic Cars","151","S12_3148","Dragon Souveniers, Ltd.","+65 221 7555","Bronz Sok., Bronz Apt. 3/6 Tesvikiye",\N,"Singapore",\N,"79903","Singapore","Japan","Natividad","Eric","Medium"
"10127","46","100","3","7366.44","2003-06-03","Shipped","2","6","2003","Classic Cars","151","S12_3148","Muscle Machine Inc","2125557413","4092 Furth Circle","Suite 400","NYC","NY","10022","USA",\N,"Young","Jeff","Large"
"10142","33","100","13","4985.64","2003-08-08","Shipped","3","8","2003","Classic Cars","151","S12_3148","Mini Gifts Distributors Ltd.","4155551450","5677 Strong St.",\N,"San Rafael","CA","97562","USA",\N,"Nelson","Valarie","Medium"
"10153","42","100","12","5393.64","2003-09-28","Shipped","3","9","2003","Classic Cars","151","S12_3148","Euro Shopping Channel","(91) 555 94 44","C/ Moralzarzal, 86",\N,"Madrid",\N,"28034","Spain","EMEA","Freyre","Diego","Medium"
"10247","25","100","3","4381.25","2004-05-05","Shipped","2","5","2004","Classic Cars","151","S12_3148","Suominen Souveniers","+358 9 8045 555","Software Engineering Center, SEC Oy",\N,"Espoo",\N,"FIN-02271","Finland","EMEA","Suominen","Kalle","Medium"
"10272","27","100","3","4283.01","2004-07-20","Shipped","3","7","2004","Classic Cars","151","S12_3148","Diecast Classics Inc.","2155551555","7586 Pompton St.",\N,"Allentown","PA","70267","USA",\N,"Yu","Kyung","Medium"
"10282","27","100","6","4364.82","2004-08-20","Shipped","3","8","2004","Classic Cars","151","S12_3148","Mini Gifts Distributors Ltd.","4155551450","5677 Strong St.",\N,"San Rafael","CA","97562","USA",\N,"Nelson","Valarie","Medium"
"10293","24","100","9","4242.24","2004-09-09","Shipped","3","9","2004","Classic Cars","151","S12_3148","Amica Models & Co.","011-4988555","Via Monte Bianco 34",\N,"Torino",\N,"10100","Italy","EMEA","Accorti","Paolo","Medium"
"10413","47","100","3","8236.75","2005-05-05","Shipped","2","5","2005","Classic Cars","151","S12_3148","Gift Depot Inc.","2035552570","25593 South Bay Ln.",\N,"Bridgewater","CT","97562","USA",\N,"King","Julie","Large"
"10122","37","99.82","8","3693.34","2003-05-08","Shipped","2","5","2003","Classic Cars","117","S12_3380","Marseille Mini Autos","91.24.4555","12, rue des Bouchers",\N,"Marseille",\N,"13008","France","EMEA","Lebihan","Laurence","Medium"
